q2,     ge,     ge-err, gm,     gm-err 
0.2433, 0.5400, 0.0011, 1.5553, 0.0031 
0.2435, 0.5387, 0.0011, 1.5517, 0.0033 
0.2456, 0.5383, 0.0013, 1.5509, 0.0036 
0.2470, 0.5367, 0.0012, 1.5465, 0.0033 
0.2477, 0.5363, 0.0011, 1.5455, 0.0032 
0.2481, 0.5326, 0.0015, 1.5350, 0.0043 
0.2492, 0.5338, 0.0016, 1.5385, 0.0045 
0.2493, 0.5321, 0.0015, 1.5336, 0.0044 
0.2520, 0.5310, 0.0011, 1.5310, 0.0032 
0.2536, 0.5305, 0.0012, 1.5301, 0.0035 
0.2578, 0.5235, 0.0016, 1.5107, 0.0047 
0.2578, 0.5236, 0.0016, 1.5109, 0.0046 
0.2592, 0.5247, 0.0012, 1.5143, 0.0035 
0.2608, 0.5216, 0.0013, 1.5057, 0.0038 
0.2647, 0.5187, 0.0012, 1.4981, 0.0036 
0.2663, 0.5145, 0.0017, 1.4863, 0.0048 
0.2663, 0.5133, 0.0016, 1.4829, 0.0047 
0.2686, 0.5134, 0.0012, 1.4834, 0.0034 
0.2702, 0.5118, 0.0012, 1.4793, 0.0035 
0.2744, 0.5056, 0.0017, 1.4620, 0.0050 
0.2744, 0.5062, 0.0017, 1.4637, 0.0049 
0.2745, 0.5043, 0.0017, 1.4583, 0.0049 
0.2758, 0.5063, 0.0012, 1.4643, 0.0036 
0.2759, 0.5048, 0.0014, 1.4601, 0.0039 
0.2814, 0.4994, 0.0012, 1.4454, 0.0036 
0.2825, 0.4971, 0.0018, 1.4389, 0.0052 
0.2900, 0.4912, 0.0012, 1.4233, 0.0036 
0.2901, 0.4898, 0.0018, 1.4193, 0.0052 
0.2905, 0.4890, 0.0014, 1.4169, 0.0040 
0.2977, 0.4817, 0.0019, 1.3973, 0.0054 
0.3038, 0.4774, 0.0013, 1.3859, 0.0037 
0.3049, 0.4759, 0.0019, 1.3817, 0.0056 
0.3054, 0.4746, 0.0014, 1.3779, 0.0042 
0.3069, 0.4743, 0.0012, 1.3773, 0.0034 
0.3094, 0.4728, 0.0013, 1.3735, 0.0037 
0.3119, 0.4688, 0.0020, 1.3623, 0.0058 
0.3120, 0.4695, 0.0013, 1.3644, 0.0037 
0.3150, 0.4672, 0.0013, 1.3582, 0.0037 
0.3187, 0.4636, 0.0021, 1.3483, 0.0060 
0.3195, 0.4613, 0.0015, 1.3419, 0.0044 
0.3207, 0.4630, 0.0013, 1.3470, 0.0038 
0.3253, 0.4567, 0.0021, 1.3294, 0.0062 
0.3263, 0.4546, 0.0013, 1.3235, 0.0038 
0.3263, 0.4556, 0.0013, 1.3262, 0.0038 
0.3315, 0.4511, 0.0022, 1.3140, 0.0064 
0.3320, 0.4516, 0.0013, 1.3157, 0.0039 
0.3332, 0.4504, 0.0013, 1.3124, 0.0039 
0.3338, 0.4489, 0.0015, 1.3081, 0.0043 
0.3340, 0.4488, 0.0015, 1.3080, 0.0043 
0.3354, 0.4468, 0.0012, 1.3024, 0.0036 
0.3375, 0.4455, 0.0013, 1.2987, 0.0039 
0.3376, 0.4454, 0.0023, 1.2986, 0.0066 
0.3432, 0.4414, 0.0013, 1.2877, 0.0039 
0.3433, 0.4418, 0.0024, 1.2891, 0.0069 
0.3473, 0.4359, 0.0016, 1.2726, 0.0047 
0.3486, 0.4370, 0.0024, 1.2758, 0.0070 
0.3489, 0.4362, 0.0014, 1.2736, 0.0040 
0.3539, 0.4330, 0.0025, 1.2651, 0.0073 
0.3543, 0.4314, 0.0014, 1.2606, 0.0040 
0.3544, 0.4325, 0.0014, 1.2639, 0.0040 
0.3592, 0.4281, 0.0026, 1.2516, 0.0076 
0.3600, 0.4261, 0.0014, 1.2461, 0.0040 
0.3609, 0.4254, 0.0017, 1.2441, 0.0049 
0.3610, 0.4259, 0.0016, 1.2454, 0.0047 
0.3636, 0.4253, 0.0027, 1.2441, 0.0079 
0.3639, 0.4238, 0.0013, 1.2398, 0.0038 
0.3657, 0.4233, 0.0014, 1.2386, 0.0041 
0.3684, 0.4200, 0.0028, 1.2296, 0.0082 
0.3712, 0.4175, 0.0014, 1.2226, 0.0040 
0.3727, 0.4173, 0.0030, 1.2224, 0.0087 
0.3738, 0.4146, 0.0016, 1.2146, 0.0048 
0.3749, 0.4137, 0.0014, 1.2122, 0.0042 
0.3767, 0.4132, 0.0031, 1.2108, 0.0090 
0.3768, 0.4130, 0.0014, 1.2104, 0.0041 
0.3825, 0.4089, 0.0014, 1.1991, 0.0041 
0.3866, 0.4054, 0.0017, 1.1897, 0.0050 
0.3870, 0.4042, 0.0017, 1.1861, 0.0050 
0.3880, 0.4042, 0.0014, 1.1864, 0.0041 
0.3916, 0.4020, 0.0013, 1.1803, 0.0040 
0.3936, 0.4008, 0.0014, 1.1770, 0.0042 
0.3954, 0.3999, 0.0015, 1.1748, 0.0044 
0.3987, 0.3955, 0.0018, 1.1622, 0.0052 
0.3991, 0.3979, 0.0015, 1.1694, 0.0043 
0.4047, 0.3930, 0.0014, 1.1558, 0.0042 
0.4102, 0.3903, 0.0015, 1.1487, 0.0045 
0.4108, 0.3874, 0.0018, 1.1404, 0.0053 
0.4154, 0.3850, 0.0015, 1.1339, 0.0045 
0.4158, 0.3850, 0.0015, 1.1339, 0.0043 
0.4201, 0.3821, 0.0014, 1.1261, 0.0042 
0.4212, 0.3809, 0.0015, 1.1226, 0.0043 
0.4222, 0.3801, 0.0019, 1.1205, 0.0055 
0.4269, 0.3764, 0.0015, 1.1103, 0.0044 
0.4322, 0.3737, 0.0015, 1.1030, 0.0044 
0.4338, 0.3718, 0.0019, 1.0979, 0.0056 
0.4351, 0.3727, 0.0016, 1.1005, 0.0047 
0.4378, 0.3687, 0.0015, 1.0892, 0.0046 
0.4471, 0.3641, 0.0015, 1.0768, 0.0043 
0.4540, 0.3595, 0.0016, 1.0644, 0.0048 
0.4549, 0.3585, 0.0020, 1.0615, 0.0059 
0.4729, 0.3484, 0.0017, 1.0341, 0.0049 
0.4729, 0.3483, 0.0017, 1.0336, 0.0049 
0.4745, 0.3464, 0.0021, 1.0282, 0.0061 
0.4748, 0.3465, 0.0015, 1.0285, 0.0045 
0.4908, 0.3376, 0.0017, 1.0043, 0.0051 
0.4908, 0.3376, 0.0017, 1.0043, 0.0052 
0.4927, 0.3358, 0.0022, 0.9992, 0.0064 
0.5009, 0.3315, 0.0022, 0.9875, 0.0067 
0.5011, 0.3315, 0.0016, 0.9875, 0.0047 
0.5083, 0.3274, 0.0018, 0.9763, 0.0053 
0.5085, 0.3275, 0.0018, 0.9766, 0.0053 
0.5089, 0.3268, 0.0023, 0.9745, 0.0068 
0.5170, 0.3233, 0.0023, 0.9653, 0.0070 
0.5241, 0.3187, 0.0024, 0.9524, 0.0071 
0.5253, 0.3176, 0.0018, 0.9492, 0.0054 
0.5254, 0.3181, 0.0018, 0.9506, 0.0054 
0.5274, 0.3173, 0.0016, 0.9485, 0.0048 
0.5312, 0.3156, 0.0024, 0.9439, 0.0073 
0.5382, 0.3110, 0.0025, 0.9312, 0.0075 
0.5419, 0.3099, 0.0018, 0.9283, 0.0055 
0.5420, 0.3107, 0.0019, 0.9306, 0.0056 
0.5442, 0.3087, 0.0026, 0.9249, 0.0077 
0.5504, 0.3062, 0.0027, 0.9181, 0.0080 
0.5524, 0.3051, 0.0017, 0.9152, 0.0050 
0.5561, 0.3039, 0.0028, 0.9120, 0.0083 
0.5578, 0.3016, 0.0019, 0.9052, 0.0057 
0.5579, 0.3016, 0.0019, 0.9053, 0.0056 
0.5613, 0.3007, 0.0028, 0.9031, 0.0085 
0.5665, 0.2976, 0.0029, 0.8944, 0.0088 
0.5732, 0.2948, 0.0019, 0.8866, 0.0058 
0.5732, 0.2941, 0.0019, 0.8845, 0.0057 
0.5775, 0.2939, 0.0017, 0.8844, 0.0052 
0.5878, 0.2872, 0.0020, 0.8656, 0.0059 
0.5879, 0.2878, 0.0019, 0.8672, 0.0059 
0.6011, 0.2814, 0.0017, 0.8495, 0.0053 
0.6022, 0.2814, 0.0020, 0.8496, 0.0060 
0.6022, 0.2817, 0.0020, 0.8506, 0.0060 
0.6157, 0.2748, 0.0020, 0.8313, 0.0061 
0.6157, 0.2747, 0.0020, 0.8311, 0.0061 
0.6249, 0.2717, 0.0018, 0.8230, 0.0054 
0.6288, 0.2703, 0.0021, 0.8191, 0.0062 
0.6290, 0.2706, 0.0021, 0.8201, 0.0063 
0.6414, 0.2642, 0.0021, 0.8020, 0.0063 
0.6415, 0.2636, 0.0021, 0.8002, 0.0064 
0.6468, 0.2626, 0.0018, 0.7978, 0.0056 
0.6536, 0.2605, 0.0021, 0.7920, 0.0065 
0.6536, 0.2595, 0.0021, 0.7889, 0.0065 
0.6536, 0.2593, 0.0021, 0.7885, 0.0063 
0.6651, 0.2553, 0.0021, 0.7775, 0.0065 
0.6652, 0.2549, 0.0021, 0.7762, 0.0065 
0.6652, 0.2550, 0.0021, 0.7766, 0.0065 
0.6690, 0.2538, 0.0019, 0.7733, 0.0057 
0.6761, 0.2510, 0.0022, 0.7655, 0.0066 
0.6763, 0.2512, 0.0022, 0.7663, 0.0066 
0.6764, 0.2512, 0.0022, 0.7660, 0.0066 
0.6867, 0.2470, 0.0022, 0.7545, 0.0066 
0.6895, 0.2446, 0.0020, 0.7473, 0.0060 
0.6969, 0.2440, 0.0022, 0.7465, 0.0069 
0.6970, 0.2431, 0.0022, 0.7436, 0.0067 
0.7064, 0.2404, 0.0022, 0.7361, 0.0069 
0.7101, 0.2390, 0.0019, 0.7322, 0.0059 
0.7151, 0.2371, 0.0023, 0.7269, 0.0070 
0.7152, 0.2371, 0.0023, 0.7270, 0.0070 
0.7239, 0.2349, 0.0023, 0.7212, 0.0071 
0.7290, 0.2328, 0.0019, 0.7150, 0.0060 
0.7295, 0.2323, 0.0019, 0.7135, 0.0060 
0.7300, 0.2319, 0.0019, 0.7125, 0.0060 
0.7325, 0.2317, 0.0023, 0.7121, 0.0072 
0.7325, 0.2319, 0.0024, 0.7129, 0.0073 
0.7402, 0.2295, 0.0024, 0.7060, 0.0073 
0.7474, 0.2268, 0.0024, 0.6984, 0.0074 
0.7474, 0.2266, 0.0025, 0.6980, 0.0078 
0.7482, 0.2265, 0.0020, 0.6977, 0.0061 
0.7486, 0.2263, 0.0020, 0.6972, 0.0061 
0.7546, 0.2255, 0.0025, 0.6951, 0.0078 
0.7603, 0.2228, 0.0025, 0.6873, 0.0077 
0.7656, 0.2201, 0.0020, 0.6796, 0.0061 
0.7661, 0.2204, 0.0020, 0.6806, 0.0062 
0.7836, 0.2154, 0.0020, 0.6669, 0.0063 
0.7996, 0.2108, 0.0020, 0.6539, 0.0063 
0.8157, 0.2065, 0.0021, 0.6419, 0.0064 
0.8303, 0.2027, 0.0021, 0.6315, 0.0065 
0.8449, 0.1980, 0.0021, 0.6183, 0.0066 
0.8586, 0.1951, 0.0021, 0.6103, 0.0067 
0.8718, 0.1922, 0.0022, 0.6023, 0.0068 
0.8838, 0.1895, 0.0022, 0.5949, 0.0068 
0.8960, 0.1861, 0.0023, 0.5850, 0.0072 
0.9070, 0.1836, 0.0022, 0.5781, 0.0070 
0.9174, 0.1814, 0.0023, 0.5719, 0.0072 
0.9275, 0.1787, 0.0023, 0.5644, 0.0071 
0.9374, 0.1776, 0.0024, 0.5615, 0.0076 
0.9459, 0.1751, 0.0023, 0.5544, 0.0074 
0.9547, 0.1732, 0.0023, 0.5489, 0.0074 
0.9627, 0.1717, 0.0024, 0.5449, 0.0078 
0.9700, 0.1700, 0.0024, 0.5401, 0.0076 
0.9772, 0.1693, 0.0026, 0.5383, 0.0081 
