q2,     ge,     ge-err, gm,     gm-err 
0.0271, 0.9226, 0.0014, 2.5855, 0.0040 
0.0272, 0.9210, 0.0025, 2.5811, 0.0071 
0.0276, 0.9211, 0.0014, 2.5814, 0.0040 
0.0278, 0.9222, 0.0014, 2.5844, 0.0038 
0.0283, 0.9202, 0.0016, 2.5791, 0.0046 
0.0286, 0.9207, 0.0013, 2.5807, 0.0037 
0.0288, 0.9232, 0.0026, 2.5877, 0.0073 
0.0295, 0.9179, 0.0014, 2.5731, 0.0038 
0.0295, 0.9131, 0.0014, 2.5597, 0.0041 
0.0296, 0.9188, 0.0014, 2.5756, 0.0039 
0.0296, 0.9150, 0.0016, 2.5650, 0.0044 
0.0303, 0.9166, 0.0014, 2.5697, 0.0038 
0.0304, 0.9153, 0.0025, 2.5659, 0.0071 
0.0308, 0.9131, 0.0015, 2.5601, 0.0042 
0.0312, 0.9131, 0.0013, 2.5601, 0.0037 
0.0317, 0.9113, 0.0015, 2.5551, 0.0043 
0.0320, 0.9119, 0.0013, 2.5570, 0.0037 
0.0322, 0.9123, 0.0014, 2.5583, 0.0039 
0.0322, 0.9117, 0.0023, 2.5566, 0.0063 
0.0329, 0.9067, 0.0013, 2.5426, 0.0037 
0.0334, 0.9077, 0.0013, 2.5458, 0.0038 
0.0338, 0.9050, 0.0014, 2.5382, 0.0040 
0.0338, 0.9056, 0.0013, 2.5400, 0.0036 
0.0340, 0.9078, 0.0016, 2.5462, 0.0044 
0.0347, 0.9039, 0.0013, 2.5354, 0.0035 
0.0348, 0.9052, 0.0013, 2.5391, 0.0037 
0.0355, 0.9025, 0.0013, 2.5317, 0.0036 
0.0357, 0.9017, 0.0020, 2.5296, 0.0055 
0.0359, 0.9029, 0.0014, 2.5330, 0.0040 
0.0362, 0.9015, 0.0014, 2.5291, 0.0039 
0.0365, 0.8975, 0.0014, 2.5181, 0.0040 
0.0374, 0.8967, 0.0013, 2.5161, 0.0037 
0.0375, 0.8990, 0.0014, 2.5224, 0.0039 
0.0376, 0.8983, 0.0026, 2.5206, 0.0073 
0.0380, 0.8956, 0.0014, 2.5131, 0.0040 
0.0389, 0.8942, 0.0013, 2.5097, 0.0038 
0.0393, 0.8932, 0.0013, 2.5069, 0.0035 
0.0394, 0.8930, 0.0014, 2.5062, 0.0039 
0.0401, 0.8900, 0.0015, 2.4982, 0.0042 
0.0402, 0.8923, 0.0013, 2.5045, 0.0035 
0.0403, 0.8923, 0.0014, 2.5047, 0.0039 
0.0411, 0.8874, 0.0012, 2.4912, 0.0035 
0.0413, 0.8877, 0.0018, 2.4921, 0.0050 
0.0418, 0.8880, 0.0013, 2.4930, 0.0038 
0.0421, 0.8867, 0.0012, 2.4896, 0.0035 
0.0421, 0.8860, 0.0015, 2.4876, 0.0041 
0.0422, 0.8863, 0.0015, 2.4884, 0.0041 
0.0430, 0.8832, 0.0012, 2.4800, 0.0034 
0.0430, 0.8845, 0.0012, 2.4836, 0.0035 
0.0432, 0.8842, 0.0014, 2.4829, 0.0039 
0.0433, 0.8835, 0.0013, 2.4808, 0.0036 
0.0433, 0.8805, 0.0019, 2.4723, 0.0053 
0.0440, 0.8794, 0.0012, 2.4695, 0.0035 
0.0442, 0.8782, 0.0015, 2.4663, 0.0041 
0.0443, 0.8809, 0.0015, 2.4737, 0.0041 
0.0447, 0.8803, 0.0013, 2.4725, 0.0036 
0.0450, 0.8781, 0.0012, 2.4662, 0.0034 
0.0453, 0.8771, 0.0019, 2.4634, 0.0052 
0.0459, 0.8760, 0.0012, 2.4607, 0.0034 
0.0462, 0.8770, 0.0013, 2.4634, 0.0036 
0.0463, 0.8752, 0.0015, 2.4585, 0.0043 
0.0463, 0.8757, 0.0015, 2.4600, 0.0042 
0.0469, 0.8750, 0.0012, 2.4581, 0.0034 
0.0473, 0.8756, 0.0019, 2.4598, 0.0053 
0.0477, 0.8735, 0.0013, 2.4540, 0.0036 
0.0479, 0.8707, 0.0012, 2.4464, 0.0034 
0.0479, 0.8707, 0.0012, 2.4463, 0.0033 
0.0484, 0.8691, 0.0015, 2.4419, 0.0042 
0.0484, 0.8714, 0.0016, 2.4485, 0.0045 
0.0489, 0.8697, 0.0012, 2.4439, 0.0033 
0.0493, 0.8708, 0.0013, 2.4471, 0.0036 
0.0494, 0.8640, 0.0018, 2.4280, 0.0051 
0.0505, 0.8648, 0.0015, 2.4305, 0.0041 
0.0508, 0.8653, 0.0013, 2.4319, 0.0035 
0.0515, 0.8630, 0.0018, 2.4257, 0.0051 
0.0524, 0.8626, 0.0013, 2.4250, 0.0035 
0.0525, 0.8589, 0.0016, 2.4145, 0.0044 
0.0525, 0.8624, 0.0017, 2.4243, 0.0046 
0.0530, 0.8600, 0.0012, 2.4177, 0.0033 
0.0537, 0.8598, 0.0018, 2.4176, 0.0051 
0.0540, 0.8580, 0.0012, 2.4125, 0.0035 
0.0545, 0.8542, 0.0015, 2.4021, 0.0043 
0.0545, 0.8563, 0.0015, 2.4078, 0.0043 
0.0556, 0.8538, 0.0012, 2.4012, 0.0034 
0.0557, 0.8543, 0.0013, 2.4026, 0.0038 
0.0565, 0.8499, 0.0016, 2.3904, 0.0044 
0.0565, 0.8522, 0.0017, 2.3970, 0.0047 
0.0572, 0.8521, 0.0012, 2.3968, 0.0034 
0.0572, 0.8509, 0.0012, 2.3934, 0.0034 
0.0580, 0.8483, 0.0016, 2.3864, 0.0045 
0.0582, 0.8473, 0.0012, 2.3838, 0.0033 
0.0584, 0.8483, 0.0017, 2.3866, 0.0048 
0.0586, 0.8464, 0.0014, 2.3812, 0.0039 
0.0589, 0.8470, 0.0012, 2.3831, 0.0035 
0.0590, 0.8459, 0.0012, 2.3799, 0.0035 
0.0602, 0.8437, 0.0013, 2.3742, 0.0037 
0.0603, 0.8414, 0.0016, 2.3677, 0.0046 
0.0603, 0.8439, 0.0017, 2.3749, 0.0046 
0.0605, 0.8423, 0.0012, 2.3704, 0.0035 
0.0622, 0.8399, 0.0012, 2.3641, 0.0035 
0.0622, 0.8388, 0.0018, 2.3610, 0.0050 
0.0622, 0.8394, 0.0018, 2.3627, 0.0049 
0.0625, 0.8401, 0.0012, 2.3646, 0.0034 
0.0634, 0.8356, 0.0012, 2.3522, 0.0033 
0.0639, 0.8343, 0.0012, 2.3488, 0.0034 
0.0640, 0.8322, 0.0017, 2.3430, 0.0049 
0.0640, 0.8349, 0.0018, 2.3506, 0.0051 
0.0648, 0.8347, 0.0012, 2.3501, 0.0033 
0.0655, 0.8314, 0.0012, 2.3410, 0.0033 
0.0658, 0.8319, 0.0019, 2.3425, 0.0053 
0.0658, 0.8304, 0.0018, 2.3384, 0.0052 
0.0670, 0.8280, 0.0013, 2.3321, 0.0036 
0.0672, 0.8275, 0.0012, 2.3307, 0.0035 
0.0673, 0.8283, 0.0012, 2.3329, 0.0035 
0.0676, 0.8254, 0.0019, 2.3248, 0.0053 
0.0688, 0.8226, 0.0012, 2.3173, 0.0033 
0.0690, 0.8251, 0.0012, 2.3245, 0.0033 
0.0693, 0.8224, 0.0020, 2.3170, 0.0056 
0.0695, 0.8232, 0.0012, 2.3193, 0.0035 
0.0707, 0.8184, 0.0011, 2.3060, 0.0032 
0.0707, 0.8210, 0.0012, 2.3134, 0.0033 
0.0710, 0.8180, 0.0020, 2.3050, 0.0057 
0.0711, 0.8184, 0.0013, 2.3060, 0.0038 
0.0718, 0.8175, 0.0012, 2.3038, 0.0034 
0.0725, 0.8130, 0.0012, 2.2913, 0.0033 
0.0726, 0.8151, 0.0023, 2.2974, 0.0065 
0.0740, 0.8106, 0.0033, 2.2850, 0.0093 
0.0740, 0.8132, 0.0023, 2.2923, 0.0064 
0.0742, 0.8110, 0.0013, 2.2861, 0.0036 
0.0742, 0.8109, 0.0012, 2.2859, 0.0033 
0.0743, 0.8093, 0.0012, 2.2813, 0.0033 
0.0743, 0.8117, 0.0012, 2.2881, 0.0034 
0.0756, 0.8082, 0.0035, 2.2785, 0.0099 
0.0758, 0.8108, 0.0013, 2.2860, 0.0035 
0.0761, 0.8079, 0.0012, 2.2780, 0.0033 
0.0768, 0.8052, 0.0012, 2.2705, 0.0034 
0.0771, 0.8063, 0.0025, 2.2738, 0.0070 
0.0773, 0.8027, 0.0011, 2.2636, 0.0032 
0.0778, 0.8035, 0.0011, 2.2660, 0.0032 
0.0785, 0.8052, 0.0027, 2.2711, 0.0078 
0.0793, 0.8015, 0.0012, 2.2607, 0.0034 
0.0796, 0.7996, 0.0011, 2.2556, 0.0032 
0.0797, 0.7990, 0.0012, 2.2538, 0.0033 
0.0798, 0.8012, 0.0028, 2.2600, 0.0078 
0.0805, 0.7982, 0.0012, 2.2518, 0.0033 
0.0811, 0.7987, 0.0030, 2.2534, 0.0084 
0.0815, 0.7958, 0.0011, 2.2454, 0.0032 
0.0818, 0.7969, 0.0012, 2.2485, 0.0034 
0.0822, 0.7940, 0.0033, 2.2406, 0.0092 
0.0831, 0.7937, 0.0012, 2.2399, 0.0033 
0.0832, 0.7925, 0.0011, 2.2366, 0.0031 
0.0834, 0.7920, 0.0034, 2.2353, 0.0097 
0.0837, 0.7906, 0.0011, 2.2312, 0.0031 
0.0842, 0.7912, 0.0012, 2.2330, 0.0034 
0.0849, 0.7934, 0.0011, 2.2396, 0.0032 
0.0851, 0.7889, 0.0011, 2.2268, 0.0031 
0.0851, 0.7889, 0.0011, 2.2270, 0.0031 
0.0852, 0.7878, 0.0012, 2.2237, 0.0033 
0.0867, 0.7788, 0.0017, 2.1988, 0.0049 
0.0868, 0.7844, 0.0012, 2.2147, 0.0033 
0.0870, 0.7860, 0.0011, 2.2194, 0.0031 
0.0870, 0.7859, 0.0013, 2.2189, 0.0036 
0.0888, 0.7815, 0.0011, 2.2070, 0.0031 
0.0894, 0.7800, 0.0012, 2.2031, 0.0033 
0.0903, 0.7787, 0.0011, 2.1995, 0.0030 
0.0906, 0.7776, 0.0011, 2.1966, 0.0031 
0.0908, 0.7765, 0.0012, 2.1935, 0.0034 
0.0908, 0.7769, 0.0017, 2.1946, 0.0049 
0.0920, 0.7730, 0.0012, 2.1838, 0.0034 
0.0920, 0.7747, 0.0012, 2.1888, 0.0034 
0.0925, 0.7745, 0.0011, 2.1883, 0.0031 
0.0936, 0.7705, 0.0011, 2.1773, 0.0032 
0.0943, 0.7733, 0.0011, 2.1853, 0.0031 
0.0944, 0.7710, 0.0011, 2.1788, 0.0031 
0.0946, 0.7684, 0.0012, 2.1716, 0.0033 
0.0949, 0.7686, 0.0017, 2.1722, 0.0048 
0.0963, 0.7667, 0.0011, 2.1674, 0.0031 
0.0963, 0.7660, 0.0013, 2.1654, 0.0037 
0.0964, 0.7683, 0.0011, 2.1719, 0.0031 
0.0964, 0.7676, 0.0011, 2.1698, 0.0032 
0.0970, 0.7664, 0.0011, 2.1668, 0.0032 
0.0974, 0.7652, 0.0012, 2.1635, 0.0034 
0.0982, 0.7624, 0.0011, 2.1556, 0.0031 
0.0990, 0.7620, 0.0017, 2.1547, 0.0049 
0.1000, 0.7598, 0.0012, 2.1489, 0.0034 
0.1001, 0.7592, 0.0011, 2.1472, 0.0031 
0.1005, 0.7588, 0.0011, 2.1462, 0.0032 
0.1018, 0.7565, 0.0013, 2.1400, 0.0038 
0.1021, 0.7554, 0.0011, 2.1368, 0.0031 
0.1027, 0.7538, 0.0011, 2.1325, 0.0032 
0.1033, 0.7488, 0.0015, 2.1185, 0.0041 
0.1039, 0.7526, 0.0011, 2.1294, 0.0031 
0.1039, 0.7532, 0.0011, 2.1311, 0.0032 
0.1039, 0.7527, 0.0011, 2.1298, 0.0031 
0.1054, 0.7492, 0.0011, 2.1204, 0.0032 
0.1059, 0.7491, 0.0011, 2.1200, 0.0031 
0.1073, 0.7449, 0.0013, 2.1085, 0.0037 
0.1074, 0.7430, 0.0011, 2.1034, 0.0031 
0.1076, 0.7398, 0.0016, 2.0943, 0.0046 
0.1078, 0.7452, 0.0011, 2.1097, 0.0031 
0.1082, 0.7437, 0.0012, 2.1054, 0.0033 
0.1097, 0.7413, 0.0011, 2.0991, 0.0031 
0.1100, 0.7415, 0.0011, 2.0998, 0.0032 
0.1110, 0.7371, 0.0011, 2.0874, 0.0032 
0.1110, 0.7383, 0.0010, 2.0910, 0.0028 
0.1110, 0.7363, 0.0011, 2.0852, 0.0031 
0.1117, 0.7373, 0.0011, 2.0882, 0.0031 
0.1120, 0.7346, 0.0016, 2.0806, 0.0046 
0.1128, 0.7374, 0.0013, 2.0889, 0.0036 
0.1128, 0.7345, 0.0013, 2.0805, 0.0037 
0.1137, 0.7328, 0.0011, 2.0760, 0.0031 
0.1137, 0.7349, 0.0011, 2.0820, 0.0031 
0.1137, 0.7328, 0.0010, 2.0762, 0.0030 
0.1146, 0.7318, 0.0011, 2.0735, 0.0030 
0.1156, 0.7295, 0.0011, 2.0672, 0.0032 
0.1161, 0.7291, 0.0013, 2.0662, 0.0036 
0.1163, 0.7250, 0.0016, 2.0545, 0.0046 
0.1175, 0.7250, 0.0011, 2.0549, 0.0031 
0.1181, 0.7262, 0.0013, 2.0585, 0.0036 
0.1182, 0.7249, 0.0014, 2.0548, 0.0038 
0.1182, 0.7249, 0.0010, 2.0548, 0.0030 
0.1194, 0.7218, 0.0010, 2.0464, 0.0029 
0.1209, 0.7152, 0.0014, 2.0281, 0.0039 
0.1219, 0.7197, 0.0011, 2.0410, 0.0030 
0.1235, 0.7167, 0.0014, 2.0329, 0.0038 
0.1236, 0.7161, 0.0011, 2.0311, 0.0032 
0.1241, 0.7163, 0.0011, 2.0320, 0.0031 
0.1251, 0.7132, 0.0010, 2.0234, 0.0029 
0.1255, 0.7096, 0.0016, 2.0133, 0.0045 
0.1255, 0.7116, 0.0011, 2.0190, 0.0030 
0.1287, 0.7064, 0.0014, 2.0049, 0.0038 
0.1288, 0.7059, 0.0014, 2.0036, 0.0040 
0.1288, 0.7067, 0.0015, 2.0059, 0.0042 
0.1294, 0.7043, 0.0011, 1.9992, 0.0031 
0.1294, 0.7054, 0.0011, 2.0023, 0.0030 
0.1300, 0.7027, 0.0016, 1.9947, 0.0044 
0.1308, 0.7026, 0.0010, 1.9948, 0.0029 
0.1331, 0.6985, 0.0011, 1.9837, 0.0030 
0.1336, 0.6975, 0.0011, 1.9810, 0.0032 
0.1340, 0.6964, 0.0014, 1.9780, 0.0041 
0.1340, 0.6968, 0.0014, 1.9793, 0.0041 
0.1340, 0.6953, 0.0014, 1.9748, 0.0039 
0.1348, 0.6963, 0.0016, 1.9778, 0.0044 
0.1367, 0.6923, 0.0010, 1.9670, 0.0029 
0.1369, 0.6927, 0.0010, 1.9683, 0.0029 
0.1387, 0.6912, 0.0011, 1.9643, 0.0031 
0.1391, 0.6887, 0.0015, 1.9573, 0.0042 
0.1391, 0.6874, 0.0014, 1.9536, 0.0041 
0.1391, 0.6879, 0.0016, 1.9552, 0.0045 
0.1395, 0.6865, 0.0013, 1.9513, 0.0038 
0.1408, 0.6857, 0.0010, 1.9493, 0.0030 
0.1425, 0.6834, 0.0010, 1.9433, 0.0029 
0.1435, 0.6811, 0.0011, 1.9368, 0.0032 
0.1441, 0.6767, 0.0015, 1.9244, 0.0042 
0.1441, 0.6805, 0.0015, 1.9353, 0.0044 
0.1441, 0.6786, 0.0015, 1.9300, 0.0042 
0.1446, 0.6800, 0.0010, 1.9342, 0.0030 
0.1484, 0.6723, 0.0010, 1.9129, 0.0029 
0.1485, 0.6730, 0.0011, 1.9151, 0.0031 
0.1490, 0.6693, 0.0015, 1.9045, 0.0042 
0.1490, 0.6714, 0.0015, 1.9107, 0.0043 
0.1513, 0.6679, 0.0011, 1.9013, 0.0030 
0.1524, 0.6665, 0.0011, 1.8976, 0.0031 
0.1535, 0.6661, 0.0011, 1.8966, 0.0032 
0.1537, 0.6645, 0.0012, 1.8922, 0.0034 
0.1538, 0.6642, 0.0015, 1.8914, 0.0043 
0.1538, 0.6617, 0.0016, 1.8841, 0.0046 
0.1543, 0.6634, 0.0011, 1.8892, 0.0030 
0.1564, 0.6610, 0.0010, 1.8828, 0.0029 
0.1564, 0.6608, 0.0010, 1.8822, 0.0027 
0.1573, 0.6588, 0.0011, 1.8768, 0.0030 
0.1585, 0.6556, 0.0017, 1.8678, 0.0048 
0.1588, 0.6558, 0.0013, 1.8687, 0.0037 
0.1603, 0.6541, 0.0011, 1.8639, 0.0030 
0.1604, 0.6551, 0.0011, 1.8669, 0.0030 
0.1631, 0.6476, 0.0017, 1.8463, 0.0048 
0.1633, 0.6497, 0.0011, 1.8522, 0.0031 
0.1636, 0.6479, 0.0012, 1.8471, 0.0034 
0.1637, 0.6473, 0.0018, 1.8456, 0.0052 
0.1643, 0.6488, 0.0011, 1.8500, 0.0030 
0.1663, 0.6445, 0.0011, 1.8382, 0.0031 
0.1675, 0.6431, 0.0018, 1.8343, 0.0052 
0.1683, 0.6411, 0.0011, 1.8289, 0.0030 
0.1687, 0.6409, 0.0015, 1.8285, 0.0042 
0.1688, 0.6425, 0.0011, 1.8329, 0.0032 
0.1693, 0.6387, 0.0011, 1.8224, 0.0031 
0.1719, 0.6345, 0.0018, 1.8108, 0.0052 
0.1723, 0.6337, 0.0010, 1.8087, 0.0029 
0.1723, 0.6360, 0.0011, 1.8152, 0.0031 
0.1737, 0.6327, 0.0013, 1.8062, 0.0036 
0.1739, 0.6354, 0.0015, 1.8139, 0.0042 
0.1754, 0.6313, 0.0011, 1.8024, 0.0031 
0.1761, 0.6292, 0.0019, 1.7968, 0.0054 
0.1764, 0.6304, 0.0010, 1.8001, 0.0030 
0.1785, 0.6267, 0.0011, 1.7900, 0.0031 
0.1789, 0.6274, 0.0013, 1.7922, 0.0037 
0.1802, 0.6226, 0.0020, 1.7789, 0.0057 
0.1805, 0.6250, 0.0010, 1.7857, 0.0030 
0.1815, 0.6207, 0.0011, 1.7736, 0.0031 
0.1835, 0.6179, 0.0013, 1.7662, 0.0036 
0.1835, 0.6182, 0.0010, 1.7668, 0.0029 
0.1840, 0.6219, 0.0015, 1.7777, 0.0042 
0.1840, 0.6185, 0.0011, 1.7678, 0.0032 
0.1841, 0.6165, 0.0021, 1.7623, 0.0059 
