q2,     ge,     ge-err, gm,     gm-err 				q2,     ge,     ge-err, gm,     gm-err 
0.0145, 0.9600, 0.0015, 2.6859, 0.0048 			      |	0.0145, 0.9568, 0.0015, 2.6771, 0.0048 
0.0146, 0.9588, 0.0014, 2.6826, 0.0045 			      |	0.0146, 0.9549, 0.0014, 2.6717, 0.0044 
0.0148, 0.9600, 0.0016, 2.6861, 0.0049 			      |	0.0148, 0.9565, 0.0016, 2.6762, 0.0049 
0.0152, 0.9539, 0.0017, 2.6691, 0.0052 			      |	0.0152, 0.9495, 0.0016, 2.6569, 0.0051 
0.0153, 0.9584, 0.0015, 2.6819, 0.0046 			      |	0.0153, 0.9546, 0.0014, 2.6710, 0.0046 
0.0155, 0.9569, 0.0015, 2.6776, 0.0048 			      |	0.0155, 0.9534, 0.0015, 2.6677, 0.0047 
0.0159, 0.9555, 0.0014, 2.6740, 0.0045 			      |	0.0159, 0.9517, 0.0014, 2.6632, 0.0044 
0.0162, 0.9506, 0.0016, 2.6603, 0.0051 			      |	0.0162, 0.9463, 0.0016, 2.6482, 0.0051 
0.0162, 0.9542, 0.0015, 2.6705, 0.0048 			      |	0.0162, 0.9507, 0.0015, 2.6606, 0.0047 
0.0162, 0.9550, 0.0015, 2.6726, 0.0048 			      |	0.0162, 0.9519, 0.0015, 2.6638, 0.0048 
0.0165, 0.9511, 0.0015, 2.6618, 0.0047 			      |	0.0165, 0.9476, 0.0015, 2.6521, 0.0047 
0.0166, 0.9537, 0.0014, 2.6689, 0.0045 			      |	0.0166, 0.9498, 0.0014, 2.6581, 0.0044 
0.0169, 0.9518, 0.0015, 2.6640, 0.0047 			      |	0.0169, 0.9484, 0.0015, 2.6542, 0.0047 
0.0172, 0.9496, 0.0016, 2.6578, 0.0050 			      |	0.0172, 0.9453, 0.0015, 2.6456, 0.0049 
0.0172, 0.9516, 0.0015, 2.6633, 0.0048 			      |	0.0172, 0.9481, 0.0015, 2.6535, 0.0047 
0.0173, 0.9496, 0.0014, 2.6579, 0.0044 			      |	0.0173, 0.9458, 0.0014, 2.6472, 0.0044 
0.0176, 0.9498, 0.0015, 2.6584, 0.0048 			      |	0.0176, 0.9463, 0.0015, 2.6486, 0.0047 
0.0180, 0.9487, 0.0015, 2.6556, 0.0048 			      |	0.0180, 0.9452, 0.0015, 2.6458, 0.0047 
0.0180, 0.9485, 0.0014, 2.6550, 0.0045 			      |	0.0180, 0.9447, 0.0014, 2.6443, 0.0045 
0.0180, 0.9488, 0.0016, 2.6558, 0.0051 			      |	0.0180, 0.9457, 0.0016, 2.6472, 0.0050 
0.0182, 0.9493, 0.0017, 2.6574, 0.0055 			      |	0.0182, 0.9450, 0.0017, 2.6452, 0.0054 
0.0183, 0.9471, 0.0015, 2.6512, 0.0047 			      |	0.0183, 0.9436, 0.0015, 2.6415, 0.0047 
0.0186, 0.9474, 0.0014, 2.6521, 0.0045 			      |	0.0186, 0.9436, 0.0014, 2.6414, 0.0044 
0.0187, 0.9452, 0.0016, 2.6459, 0.0051 			      |	0.0187, 0.9417, 0.0016, 2.6361, 0.0050 
0.0190, 0.9441, 0.0022, 2.6431, 0.0067 			      |	0.0190, 0.9407, 0.0021, 2.6334, 0.0066 
0.0190, 0.9477, 0.0015, 2.6530, 0.0049 			      |	0.0190, 0.9452, 0.0015, 2.6461, 0.0048 
0.0192, 0.9427, 0.0018, 2.6390, 0.0056 			      |	0.0192, 0.9383, 0.0018, 2.6269, 0.0056 
0.0193, 0.9467, 0.0014, 2.6503, 0.0046 			      |	0.0193, 0.9428, 0.0014, 2.6395, 0.0046 
0.0194, 0.9455, 0.0015, 2.6471, 0.0048 			      |	0.0194, 0.9430, 0.0015, 2.6402, 0.0047 
0.0198, 0.9429, 0.0015, 2.6398, 0.0047 			      |	0.0198, 0.9404, 0.0014, 2.6329, 0.0047 
0.0198, 0.9434, 0.0015, 2.6412, 0.0049 			      |	0.0198, 0.9403, 0.0015, 2.6326, 0.0049 
0.0201, 0.9439, 0.0014, 2.6427, 0.0046 			      |	0.0201, 0.9401, 0.0014, 2.6321, 0.0046 
0.0201, 0.9405, 0.0015, 2.6334, 0.0049 			      |	0.0201, 0.9381, 0.0015, 2.6266, 0.0048 
0.0202, 0.9407, 0.0015, 2.6338, 0.0049 			      |	0.0202, 0.9363, 0.0015, 2.6217, 0.0048 
0.0205, 0.9399, 0.0014, 2.6317, 0.0047 			      |	0.0205, 0.9375, 0.0014, 2.6249, 0.0047 
0.0208, 0.9426, 0.0015, 2.6395, 0.0049 			      |	0.0208, 0.9388, 0.0015, 2.6288, 0.0049 
0.0209, 0.9385, 0.0014, 2.6280, 0.0047 			      |	0.0209, 0.9361, 0.0014, 2.6211, 0.0047 
0.0213, 0.9368, 0.0015, 2.6233, 0.0048 			      |	0.0213, 0.9344, 0.0015, 2.6165, 0.0048 
0.0213, 0.9382, 0.0016, 2.6272, 0.0053 			      |	0.0213, 0.9339, 0.0016, 2.6151, 0.0052 
0.0215, 0.9403, 0.0015, 2.6332, 0.0049 			      |	0.0215, 0.9365, 0.0015, 2.6225, 0.0048 
0.0217, 0.9379, 0.0015, 2.6266, 0.0048 			      |	0.0217, 0.9349, 0.0014, 2.6180, 0.0047 
0.0223, 0.9393, 0.0014, 2.6305, 0.0047 			      |	0.0223, 0.9355, 0.0014, 2.6199, 0.0046 
0.0224, 0.9355, 0.0016, 2.6200, 0.0051 			      |	0.0224, 0.9312, 0.0015, 2.6080, 0.0050 
0.0230, 0.9358, 0.0014, 2.6210, 0.0046 			      |	0.0230, 0.9320, 0.0014, 2.6104, 0.0046 
0.0236, 0.9331, 0.0017, 2.6137, 0.0057 			      |	0.0236, 0.9288, 0.0017, 2.6017, 0.0056 
0.0236, 0.9327, 0.0015, 2.6127, 0.0049 			      |	0.0236, 0.9297, 0.0015, 2.6041, 0.0048 
0.0238, 0.9362, 0.0014, 2.6225, 0.0047 			      |	0.0238, 0.9324, 0.0014, 2.6119, 0.0046 
0.0246, 0.9333, 0.0014, 2.6146, 0.0047 			      |	0.0246, 0.9295, 0.0014, 2.6040, 0.0046 
0.0247, 0.9295, 0.0017, 2.6041, 0.0055 			      |	0.0247, 0.9253, 0.0017, 2.5921, 0.0055 
0.0254, 0.9267, 0.0013, 2.5964, 0.0045 			      |	0.0254, 0.9230, 0.0013, 2.5859, 0.0045 
0.0255, 0.9317, 0.0032, 2.6104, 0.0097 			      |	0.0255, 0.9276, 0.0031, 2.5989, 0.0096 
0.0256, 0.9257, 0.0014, 2.5935, 0.0048 			      |	0.0256, 0.9226, 0.0014, 2.5850, 0.0048 
0.0259, 0.9278, 0.0016, 2.5997, 0.0054 			      |	0.0259, 0.9236, 0.0016, 2.5878, 0.0053 
0.0262, 0.9261, 0.0013, 2.5948, 0.0045 			      |	0.0262, 0.9223, 0.0013, 2.5843, 0.0045 
0.0270, 0.9233, 0.0013, 2.5874, 0.0046 			      |	0.0270, 0.9196, 0.0013, 2.5770, 0.0045 
0.0271, 0.9220, 0.0014, 2.5838, 0.0049 			      |	0.0271, 0.9178, 0.0014, 2.5720, 0.0048 
