q2,     ge,     ge-err, gm,     gm-err 				q2,     ge,     ge-err, gm,     gm-err 
0.0672, 0.8268, 0.0012, 2.3286, 0.0051 			      |	0.0672, 0.8231, 0.0012, 2.3182, 0.0050 
0.0673, 0.8276, 0.0012, 2.3310, 0.0051 			      |	0.0673, 0.8235, 0.0012, 2.3195, 0.0050 
0.0676, 0.8255, 0.0019, 2.3250, 0.0058 			      |	0.0676, 0.8241, 0.0019, 2.3211, 0.0057 
0.0688, 0.8223, 0.0012, 2.3163, 0.0047 			      |	0.0688, 0.8194, 0.0011, 2.3084, 0.0047 
0.0690, 0.8244, 0.0012, 2.3225, 0.0049 			      |	0.0690, 0.8204, 0.0012, 2.3111, 0.0049 
0.0693, 0.8225, 0.0020, 2.3172, 0.0060 			      |	0.0693, 0.8211, 0.0020, 2.3132, 0.0059 
0.0695, 0.8225, 0.0012, 2.3172, 0.0051 			      |	0.0695, 0.8188, 0.0012, 2.3068, 0.0050 
0.0707, 0.8177, 0.0011, 2.3040, 0.0049 			      |	0.0707, 0.8138, 0.0011, 2.2932, 0.0048 
0.0707, 0.8203, 0.0012, 2.3115, 0.0049 			      |	0.0707, 0.8163, 0.0012, 2.3001, 0.0049 
0.0710, 0.8181, 0.0020, 2.3052, 0.0060 			      |	0.0710, 0.8167, 0.0020, 2.3013, 0.0060 
0.0711, 0.8176, 0.0013, 2.3038, 0.0054 			      |	0.0711, 0.8140, 0.0013, 2.2938, 0.0054 
0.0718, 0.8168, 0.0012, 2.3017, 0.0050 			      |	0.0718, 0.8131, 0.0012, 2.2914, 0.0050 
0.0725, 0.8123, 0.0012, 2.2893, 0.0050 			      |	0.0725, 0.8090, 0.0012, 2.2801, 0.0049 
0.0726, 0.8152, 0.0023, 2.2976, 0.0067 			      |	0.0726, 0.8138, 0.0023, 2.2937, 0.0067 
0.0740, 0.8107, 0.0033, 2.2852, 0.0094 			      |	0.0740, 0.8093, 0.0033, 2.2814, 0.0094 
0.0740, 0.8136, 0.0023, 2.2935, 0.0065 			      |	0.0740, 0.8131, 0.0023, 2.2921, 0.0065 
0.0742, 0.8102, 0.0013, 2.2838, 0.0053 			      |	0.0742, 0.8067, 0.0013, 2.2739, 0.0053 
0.0742, 0.8105, 0.0012, 2.2849, 0.0047 			      |	0.0742, 0.8075, 0.0011, 2.2764, 0.0047 
0.0743, 0.8086, 0.0012, 2.2793, 0.0049 			      |	0.0743, 0.8053, 0.0012, 2.2701, 0.0049 
0.0743, 0.8109, 0.0012, 2.2860, 0.0051 			      |	0.0743, 0.8073, 0.0012, 2.2758, 0.0050 
0.0756, 0.8086, 0.0035, 2.2798, 0.0100 			      |	0.0756, 0.8081, 0.0035, 2.2784, 0.0099 
0.0758, 0.8103, 0.0013, 2.2848, 0.0052 			      |	0.0758, 0.8058, 0.0012, 2.2721, 0.0051 
0.0761, 0.8072, 0.0012, 2.2761, 0.0049 			      |	0.0761, 0.8040, 0.0011, 2.2669, 0.0049 
0.0768, 0.8045, 0.0012, 2.2684, 0.0051 			      |	0.0768, 0.8008, 0.0012, 2.2583, 0.0050 
0.0771, 0.8068, 0.0025, 2.2751, 0.0069 			      |	0.0771, 0.8063, 0.0025, 2.2737, 0.0068 
0.0773, 0.8019, 0.0011, 2.2614, 0.0049 			      |	0.0773, 0.7984, 0.0011, 2.2516, 0.0049 
0.0778, 0.8028, 0.0011, 2.2640, 0.0049 			      |	0.0778, 0.7996, 0.0011, 2.2549, 0.0048 
0.0785, 0.8057, 0.0028, 2.2723, 0.0075 			      |	0.0785, 0.8052, 0.0027, 2.2709, 0.0075 
0.0793, 0.8007, 0.0012, 2.2586, 0.0051 			      |	0.0793, 0.7971, 0.0012, 2.2485, 0.0051 
0.0796, 0.7989, 0.0011, 2.2537, 0.0049 			      |	0.0796, 0.7957, 0.0011, 2.2446, 0.0048 
0.0797, 0.7986, 0.0012, 2.2528, 0.0048 			      |	0.0797, 0.7959, 0.0012, 2.2450, 0.0048 
0.0798, 0.8016, 0.0028, 2.2612, 0.0075 			      |	0.0798, 0.8011, 0.0028, 2.2598, 0.0074 
0.0805, 0.7974, 0.0012, 2.2496, 0.0051 			      |	0.0805, 0.7939, 0.0012, 2.2399, 0.0051 
0.0811, 0.7992, 0.0030, 2.2547, 0.0079 			      |	0.0811, 0.7987, 0.0030, 2.2533, 0.0079 
0.0815, 0.7951, 0.0011, 2.2435, 0.0049 			      |	0.0815, 0.7919, 0.0011, 2.2344, 0.0048 
0.0818, 0.7962, 0.0012, 2.2465, 0.0051 			      |	0.0818, 0.7926, 0.0012, 2.2364, 0.0051 
0.0822, 0.7945, 0.0033, 2.2418, 0.0086 			      |	0.0822, 0.7940, 0.0033, 2.2404, 0.0086 
0.0831, 0.7930, 0.0012, 2.2379, 0.0051 			      |	0.0831, 0.7893, 0.0012, 2.2274, 0.0050 
0.0832, 0.7919, 0.0011, 2.2347, 0.0048 			      |	0.0832, 0.7887, 0.0011, 2.2257, 0.0048 
0.0834, 0.7925, 0.0034, 2.2366, 0.0089 			      |	0.0834, 0.7920, 0.0034, 2.2352, 0.0089 
0.0837, 0.7898, 0.0011, 2.2291, 0.0049 			      |	0.0837, 0.7864, 0.0011, 2.2194, 0.0048 
0.0842, 0.7904, 0.0012, 2.2310, 0.0051 			      |	0.0842, 0.7869, 0.0012, 2.2210, 0.0051 
0.0849, 0.7930, 0.0011, 2.2384, 0.0049 			      |	0.0849, 0.7888, 0.0011, 2.2266, 0.0048 
0.0851, 0.7882, 0.0011, 2.2249, 0.0048 			      |	0.0851, 0.7843, 0.0011, 2.2140, 0.0048 
0.0851, 0.7882, 0.0011, 2.2251, 0.0048 			      |	0.0851, 0.7851, 0.0011, 2.2161, 0.0048 
0.0852, 0.7874, 0.0012, 2.2227, 0.0048 			      |	0.0852, 0.7845, 0.0012, 2.2144, 0.0047 
0.0867, 0.7780, 0.0017, 2.1965, 0.0067 			      |	0.0867, 0.7735, 0.0017, 2.1839, 0.0067 
0.0868, 0.7837, 0.0012, 2.2127, 0.0051 			      |	0.0868, 0.7802, 0.0012, 2.2027, 0.0051 
0.0870, 0.7854, 0.0011, 2.2175, 0.0049 			      |	0.0870, 0.7822, 0.0011, 2.2085, 0.0048 
0.0870, 0.7851, 0.0013, 2.2168, 0.0054 			      |	0.0870, 0.7817, 0.0013, 2.2071, 0.0054 
0.0888, 0.7808, 0.0011, 2.2051, 0.0048 			      |	0.0888, 0.7777, 0.0011, 2.1962, 0.0048 
0.0894, 0.7793, 0.0012, 2.2011, 0.0051 			      |	0.0894, 0.7758, 0.0012, 2.1912, 0.0051 
0.0903, 0.7779, 0.0011, 2.1974, 0.0049 			      |	0.0903, 0.7745, 0.0011, 2.1878, 0.0049 
0.0906, 0.7770, 0.0011, 2.1948, 0.0048 			      |	0.0906, 0.7738, 0.0011, 2.1859, 0.0048 
0.0908, 0.7762, 0.0012, 2.1926, 0.0049 			      |	0.0908, 0.7735, 0.0012, 2.1851, 0.0048 
0.0908, 0.7761, 0.0017, 2.1923, 0.0068 			      |	0.0908, 0.7716, 0.0017, 2.1798, 0.0067 
0.0920, 0.7723, 0.0012, 2.1819, 0.0052 			      |	0.0920, 0.7691, 0.0012, 2.1730, 0.0051 
0.0920, 0.7740, 0.0012, 2.1868, 0.0052 			      |	0.0920, 0.7706, 0.0012, 2.1770, 0.0051 
0.0925, 0.7738, 0.0011, 2.1864, 0.0049 			      |	0.0925, 0.7707, 0.0011, 2.1776, 0.0048 
0.0936, 0.7697, 0.0011, 2.1752, 0.0050 			      |	0.0936, 0.7664, 0.0011, 2.1657, 0.0050 
0.0943, 0.7728, 0.0011, 2.1841, 0.0048 			      |	0.0943, 0.7685, 0.0011, 2.1720, 0.0047 
0.0944, 0.7703, 0.0011, 2.1770, 0.0048 			      |	0.0944, 0.7672, 0.0011, 2.1682, 0.0048 
0.0946, 0.7677, 0.0012, 2.1697, 0.0052 			      |	0.0946, 0.7643, 0.0012, 2.1599, 0.0051 
0.0949, 0.7677, 0.0017, 2.1699, 0.0067 			      |	0.0949, 0.7634, 0.0017, 2.1574, 0.0066 
0.0963, 0.7661, 0.0011, 2.1656, 0.0049 			      |	0.0963, 0.7630, 0.0011, 2.1568, 0.0048 
0.0963, 0.7657, 0.0013, 2.1644, 0.0051 			      |	0.0963, 0.7628, 0.0013, 2.1564, 0.0051 
0.0964, 0.7675, 0.0011, 2.1697, 0.0049 			      |	0.0964, 0.7639, 0.0011, 2.1593, 0.0049 
0.0964, 0.7669, 0.0011, 2.1679, 0.0050 			      |	0.0964, 0.7633, 0.0011, 2.1577, 0.0049 
0.0970, 0.7657, 0.0011, 2.1647, 0.0051 			      |	0.0970, 0.7624, 0.0011, 2.1553, 0.0050 
0.0974, 0.7646, 0.0012, 2.1615, 0.0052 			      |	0.0974, 0.7611, 0.0012, 2.1518, 0.0052 
0.0982, 0.7617, 0.0011, 2.1537, 0.0048 			      |	0.0982, 0.7586, 0.0011, 2.1450, 0.0048 
0.0990, 0.7612, 0.0017, 2.1524, 0.0068 			      |	0.0990, 0.7568, 0.0017, 2.1401, 0.0067 
0.1000, 0.7591, 0.0012, 2.1469, 0.0052 			      |	0.1000, 0.7557, 0.0012, 2.1373, 0.0052 
0.1001, 0.7586, 0.0011, 2.1454, 0.0048 			      |	0.1001, 0.7555, 0.0011, 2.1367, 0.0048 
0.1005, 0.7581, 0.0011, 2.1441, 0.0051 			      |	0.1005, 0.7548, 0.0011, 2.1348, 0.0050 
0.1018, 0.7562, 0.0013, 2.1391, 0.0051 			      |	0.1018, 0.7536, 0.0013, 2.1317, 0.0051 
0.1021, 0.7547, 0.0011, 2.1350, 0.0048 			      |	0.1021, 0.7517, 0.0011, 2.1264, 0.0048 
0.1027, 0.7531, 0.0011, 2.1306, 0.0051 			      |	0.1027, 0.7497, 0.0011, 2.1210, 0.0050 
0.1033, 0.7480, 0.0015, 2.1162, 0.0061 			      |	0.1033, 0.7437, 0.0014, 2.1041, 0.0060 
0.1039, 0.7519, 0.0011, 2.1274, 0.0051 			      |	0.1039, 0.7486, 0.0011, 2.1181, 0.0050 
0.1039, 0.7527, 0.0011, 2.1299, 0.0049 			      |	0.1039, 0.7488, 0.0011, 2.1186, 0.0048 
0.1039, 0.7521, 0.0011, 2.1280, 0.0049 			      |	0.1039, 0.7490, 0.0011, 2.1194, 0.0048 
0.1054, 0.7486, 0.0011, 2.1185, 0.0051 			      |	0.1054, 0.7452, 0.0011, 2.1090, 0.0051 
0.1059, 0.7484, 0.0011, 2.1182, 0.0048 			      |	0.1059, 0.7454, 0.0011, 2.1096, 0.0048 
0.1073, 0.7445, 0.0013, 2.1075, 0.0049 			      |	0.1073, 0.7418, 0.0013, 2.0997, 0.0049 
0.1074, 0.7423, 0.0011, 2.1013, 0.0050 			      |	0.1074, 0.7391, 0.0011, 2.0922, 0.0050 
0.1076, 0.7390, 0.0016, 2.0920, 0.0066 			      |	0.1076, 0.7348, 0.0016, 2.0801, 0.0065 
0.1078, 0.7446, 0.0011, 2.1079, 0.0048 			      |	0.1078, 0.7416, 0.0011, 2.0994, 0.0048 
0.1082, 0.7430, 0.0011, 2.1035, 0.0051 			      |	0.1082, 0.7397, 0.0011, 2.0940, 0.0051 
0.1097, 0.7407, 0.0011, 2.0973, 0.0048 			      |	0.1097, 0.7377, 0.0011, 2.0888, 0.0048 
0.1100, 0.7408, 0.0011, 2.0976, 0.0050 			      |	0.1100, 0.7372, 0.0011, 2.0875, 0.0050 
0.1110, 0.7365, 0.0011, 2.0857, 0.0050 			      |	0.1110, 0.7334, 0.0011, 2.0771, 0.0050 
0.1110, 0.7377, 0.0010, 2.0891, 0.0047 			      |	0.1110, 0.7344, 0.0010, 2.0797, 0.0047 
0.1110, 0.7356, 0.0011, 2.0831, 0.0050 			      |	0.1110, 0.7324, 0.0011, 2.0741, 0.0050 
0.1117, 0.7367, 0.0011, 2.0864, 0.0048 			      |	0.1117, 0.7337, 0.0011, 2.0780, 0.0048 
0.1120, 0.7338, 0.0016, 2.0784, 0.0066 			      |	0.1120, 0.7296, 0.0016, 2.0665, 0.0065 
0.1128, 0.7378, 0.0013, 2.0898, 0.0047 			      |	0.1128, 0.7337, 0.0012, 2.0784, 0.0047 
0.1128, 0.7341, 0.0013, 2.0796, 0.0049 			      |	0.1128, 0.7316, 0.0013, 2.0724, 0.0049 
0.1137, 0.7322, 0.0011, 2.0743, 0.0048 			      |	0.1137, 0.7292, 0.0011, 2.0659, 0.0048 
0.1137, 0.7345, 0.0011, 2.0808, 0.0048 			      |	0.1137, 0.7304, 0.0011, 2.0693, 0.0048 
0.1137, 0.7322, 0.0010, 2.0744, 0.0048 			      |	0.1137, 0.7292, 0.0010, 2.0659, 0.0048 
0.1146, 0.7311, 0.0011, 2.0715, 0.0050 			      |	0.1146, 0.7279, 0.0011, 2.0625, 0.0049 
0.1156, 0.7289, 0.0011, 2.0654, 0.0049 			      |	0.1156, 0.7259, 0.0011, 2.0571, 0.0048 
0.1161, 0.7294, 0.0013, 2.0672, 0.0048 			      |	0.1161, 0.7255, 0.0013, 2.0558, 0.0047 
0.1163, 0.7242, 0.0016, 2.0523, 0.0065 			      |	0.1163, 0.7201, 0.0016, 2.0406, 0.0064 
0.1175, 0.7244, 0.0011, 2.0532, 0.0048 			      |	0.1175, 0.7215, 0.0011, 2.0449, 0.0048 
0.1181, 0.7266, 0.0013, 2.0595, 0.0047 			      |	0.1181, 0.7226, 0.0013, 2.0482, 0.0047 
0.1182, 0.7245, 0.0013, 2.0538, 0.0049 			      |	0.1182, 0.7219, 0.0013, 2.0462, 0.0049 
0.1182, 0.7242, 0.0010, 2.0529, 0.0049 			      |	0.1182, 0.7211, 0.0010, 2.0439, 0.0049 
0.1194, 0.7212, 0.0010, 2.0447, 0.0048 			      |	0.1194, 0.7182, 0.0010, 2.0363, 0.0048 
0.1209, 0.7145, 0.0014, 2.0260, 0.0059 			      |	0.1209, 0.7104, 0.0014, 2.0144, 0.0058 
0.1219, 0.7190, 0.0011, 2.0390, 0.0050 			      |	0.1219, 0.7159, 0.0011, 2.0302, 0.0049 
0.1235, 0.7164, 0.0014, 2.0320, 0.0048 			      |	0.1235, 0.7139, 0.0013, 2.0250, 0.0048 
0.1236, 0.7157, 0.0011, 2.0300, 0.0048 			      |	0.1236, 0.7119, 0.0011, 2.0193, 0.0048 
0.1241, 0.7155, 0.0011, 2.0298, 0.0050 			      |	0.1241, 0.7121, 0.0011, 2.0201, 0.0050 
0.1251, 0.7126, 0.0010, 2.0217, 0.0048 			      |	0.1251, 0.7097, 0.0010, 2.0134, 0.0048 
0.1255, 0.7088, 0.0016, 2.0111, 0.0065 			      |	0.1255, 0.7048, 0.0015, 1.9996, 0.0064 
0.1255, 0.7109, 0.0011, 2.0171, 0.0050 			      |	0.1255, 0.7078, 0.0010, 2.0083, 0.0049 
0.1287, 0.7067, 0.0014, 2.0059, 0.0047 			      |	0.1287, 0.7028, 0.0013, 1.9949, 0.0046 
0.1288, 0.7056, 0.0014, 2.0027, 0.0048 			      |	0.1288, 0.7029, 0.0014, 1.9952, 0.0048 
0.1288, 0.7064, 0.0015, 2.0050, 0.0051 			      |	0.1288, 0.7037, 0.0015, 1.9975, 0.0050 
0.1294, 0.7037, 0.0011, 1.9974, 0.0050 			      |	0.1294, 0.7005, 0.0011, 1.9886, 0.0050 
0.1294, 0.7047, 0.0011, 2.0004, 0.0050 			      |	0.1294, 0.7016, 0.0010, 1.9917, 0.0049 
0.1300, 0.7019, 0.0016, 1.9926, 0.0064 			      |	0.1300, 0.6979, 0.0015, 1.9812, 0.0064 
0.1308, 0.7020, 0.0010, 1.9931, 0.0048 			      |	0.1308, 0.6991, 0.0010, 1.9849, 0.0047 
0.1331, 0.6978, 0.0011, 1.9818, 0.0050 			      |	0.1331, 0.6948, 0.0010, 1.9732, 0.0049 
0.1336, 0.6971, 0.0011, 1.9799, 0.0048 			      |	0.1336, 0.6932, 0.0011, 1.9689, 0.0047 
0.1340, 0.6961, 0.0014, 1.9771, 0.0048 			      |	0.1340, 0.6937, 0.0014, 1.9703, 0.0048 
0.1340, 0.6965, 0.0014, 1.9784, 0.0048 			      |	0.1340, 0.6942, 0.0014, 1.9716, 0.0048 
0.1340, 0.6956, 0.0014, 1.9757, 0.0047 			      |	0.1340, 0.6918, 0.0014, 1.9649, 0.0046 
0.1348, 0.6955, 0.0016, 1.9757, 0.0064 			      |	0.1348, 0.6915, 0.0015, 1.9644, 0.0064 
0.1367, 0.6917, 0.0010, 1.9653, 0.0048 			      |	0.1367, 0.6889, 0.0010, 1.9572, 0.0047 
0.1369, 0.6921, 0.0010, 1.9664, 0.0049 			      |	0.1369, 0.6891, 0.0010, 1.9578, 0.0049 
0.1387, 0.6904, 0.0011, 1.9622, 0.0049 			      |	0.1387, 0.6871, 0.0011, 1.9528, 0.0048 
0.1391, 0.6883, 0.0015, 1.9564, 0.0048 			      |	0.1391, 0.6858, 0.0015, 1.9491, 0.0048 
0.1391, 0.6877, 0.0014, 1.9545, 0.0046 			      |	0.1391, 0.6839, 0.0014, 1.9438, 0.0046 
0.1391, 0.6876, 0.0016, 1.9543, 0.0050 			      |	0.1391, 0.6850, 0.0016, 1.9470, 0.0050 
0.1395, 0.6858, 0.0013, 1.9492, 0.0058 			      |	0.1395, 0.6819, 0.0013, 1.9380, 0.0058 
0.1408, 0.6850, 0.0010, 1.9474, 0.0049 			      |	0.1408, 0.6821, 0.0010, 1.9390, 0.0049 
0.1425, 0.6829, 0.0010, 1.9416, 0.0047 			      |	0.1425, 0.6801, 0.0010, 1.9337, 0.0047 
0.1435, 0.6807, 0.0011, 1.9357, 0.0047 			      |	0.1435, 0.6771, 0.0011, 1.9254, 0.0046 
0.1441, 0.6760, 0.0015, 1.9224, 0.0062 			      |	0.1441, 0.6721, 0.0015, 1.9114, 0.0061 
0.1441, 0.6802, 0.0015, 1.9344, 0.0048 			      |	0.1441, 0.6779, 0.0015, 1.9278, 0.0048 
0.1441, 0.6789, 0.0015, 1.9309, 0.0046 			      |	0.1441, 0.6752, 0.0015, 1.9203, 0.0046 
0.1446, 0.6794, 0.0010, 1.9323, 0.0049 			      |	0.1446, 0.6764, 0.0010, 1.9239, 0.0049 
0.1484, 0.6717, 0.0010, 1.9113, 0.0047 			      |	0.1484, 0.6689, 0.0010, 1.9034, 0.0047 
0.1485, 0.6724, 0.0011, 1.9132, 0.0050 			      |	0.1485, 0.6694, 0.0011, 1.9049, 0.0049 
0.1490, 0.6685, 0.0015, 1.9025, 0.0062 			      |	0.1490, 0.6647, 0.0015, 1.8916, 0.0061 
0.1490, 0.6717, 0.0015, 1.9115, 0.0045 			      |	0.1490, 0.6680, 0.0015, 1.9011, 0.0045 
0.1513, 0.6674, 0.0011, 1.8997, 0.0048 			      |	0.1513, 0.6646, 0.0010, 1.8919, 0.0047 
0.1524, 0.6659, 0.0011, 1.8957, 0.0050 			      |	0.1524, 0.6630, 0.0011, 1.8875, 0.0049 
0.1535, 0.6654, 0.0011, 1.8946, 0.0049 			      |	0.1535, 0.6622, 0.0011, 1.8855, 0.0049 
0.1537, 0.6642, 0.0012, 1.8912, 0.0048 			      |	0.1537, 0.6605, 0.0012, 1.8807, 0.0048 
0.1538, 0.6635, 0.0015, 1.8894, 0.0062 			      |	0.1538, 0.6597, 0.0015, 1.8786, 0.0061 
0.1538, 0.6620, 0.0016, 1.8850, 0.0047 			      |	0.1538, 0.6584, 0.0016, 1.8747, 0.0046 
0.1543, 0.6629, 0.0011, 1.8876, 0.0048 			      |	0.1543, 0.6602, 0.0011, 1.8799, 0.0047 
0.1564, 0.6604, 0.0010, 1.8811, 0.0048 			      |	0.1564, 0.6575, 0.0010, 1.8728, 0.0048 
0.1564, 0.6601, 0.0010, 1.8804, 0.0046 			      |	0.1564, 0.6573, 0.0010, 1.8722, 0.0046 
0.1573, 0.6583, 0.0011, 1.8752, 0.0047 			      |	0.1573, 0.6556, 0.0011, 1.8675, 0.0047 
0.1585, 0.6559, 0.0017, 1.8687, 0.0047 			      |	0.1585, 0.6523, 0.0017, 1.8585, 0.0046 
0.1588, 0.6551, 0.0013, 1.8667, 0.0057 			      |	0.1588, 0.6514, 0.0013, 1.8560, 0.0056 
0.1603, 0.6535, 0.0011, 1.8624, 0.0047 			      |	0.1603, 0.6508, 0.0011, 1.8547, 0.0047 
0.1604, 0.6545, 0.0011, 1.8652, 0.0049 			      |	0.1604, 0.6516, 0.0010, 1.8570, 0.0048 
0.1631, 0.6479, 0.0017, 1.8471, 0.0046 			      |	0.1631, 0.6444, 0.0017, 1.8370, 0.0045 
0.1633, 0.6491, 0.0011, 1.8506, 0.0047 			      |	0.1633, 0.6465, 0.0011, 1.8430, 0.0047 
0.1636, 0.6475, 0.0012, 1.8460, 0.0047 			      |	0.1636, 0.6441, 0.0012, 1.8363, 0.0046 
0.1637, 0.6466, 0.0018, 1.8436, 0.0072 			      |	0.1637, 0.6429, 0.0018, 1.8331, 0.0071 
0.1643, 0.6482, 0.0011, 1.8483, 0.0049 			      |	0.1643, 0.6454, 0.0010, 1.8401, 0.0048 
0.1663, 0.6440, 0.0011, 1.8366, 0.0047 			      |	0.1663, 0.6413, 0.0011, 1.8291, 0.0047 
0.1675, 0.6433, 0.0018, 1.8351, 0.0047 			      |	0.1675, 0.6398, 0.0018, 1.8251, 0.0047 
0.1683, 0.6405, 0.0010, 1.8272, 0.0048 			      |	0.1683, 0.6377, 0.0010, 1.8191, 0.0048 
0.1687, 0.6402, 0.0015, 1.8265, 0.0061 			      |	0.1687, 0.6366, 0.0014, 1.8161, 0.0060 
0.1688, 0.6418, 0.0011, 1.8310, 0.0048 			      |	0.1688, 0.6387, 0.0011, 1.8222, 0.0047 
0.1693, 0.6382, 0.0011, 1.8208, 0.0047 			      |	0.1693, 0.6356, 0.0011, 1.8134, 0.0046 
0.1719, 0.6348, 0.0018, 1.8116, 0.0046 			      |	0.1719, 0.6313, 0.0018, 1.8017, 0.0045 
0.1723, 0.6331, 0.0010, 1.8070, 0.0047 			      |	0.1723, 0.6303, 0.0010, 1.7990, 0.0047 
0.1723, 0.6355, 0.0011, 1.8137, 0.0047 			      |	0.1723, 0.6328, 0.0011, 1.8063, 0.0047 
0.1737, 0.6324, 0.0013, 1.8052, 0.0047 			      |	0.1737, 0.6289, 0.0012, 1.7952, 0.0046 
0.1739, 0.6347, 0.0015, 1.8120, 0.0061 			      |	0.1739, 0.6311, 0.0014, 1.8016, 0.0060 
0.1754, 0.6307, 0.0011, 1.8009, 0.0047 			      |	0.1754, 0.6281, 0.0011, 1.7935, 0.0046 
0.1761, 0.6295, 0.0019, 1.7976, 0.0046 			      |	0.1761, 0.6261, 0.0019, 1.7878, 0.0045 
0.1764, 0.6298, 0.0010, 1.7984, 0.0047 			      |	0.1764, 0.6270, 0.0010, 1.7905, 0.0047 
0.1785, 0.6261, 0.0011, 1.7885, 0.0047 			      |	0.1785, 0.6236, 0.0011, 1.7811, 0.0046 
0.1789, 0.6267, 0.0013, 1.7903, 0.0056 			      |	0.1789, 0.6231, 0.0013, 1.7800, 0.0055 
0.1802, 0.6229, 0.0020, 1.7797, 0.0047 			      |	0.1802, 0.6195, 0.0020, 1.7700, 0.0046 
0.1805, 0.6244, 0.0010, 1.7841, 0.0047 			      |	0.1805, 0.6217, 0.0010, 1.7762, 0.0047 
0.1815, 0.6202, 0.0011, 1.7721, 0.0046 			      |	0.1815, 0.6176, 0.0011, 1.7648, 0.0046 
0.1835, 0.6176, 0.0013, 1.7652, 0.0045 			      |	0.1835, 0.6143, 0.0013, 1.7559, 0.0045 
0.1835, 0.6173, 0.0010, 1.7643, 0.0046 			      |	0.1835, 0.6146, 0.0010, 1.7566, 0.0046 
0.1840, 0.6213, 0.0014, 1.7758, 0.0060 			      |	0.1840, 0.6177, 0.0014, 1.7656, 0.0059 
0.1840, 0.6178, 0.0011, 1.7660, 0.0047 			      |	0.1840, 0.6148, 0.0011, 1.7575, 0.0046 
0.1841, 0.6168, 0.0021, 1.7631, 0.0047 			      |	0.1841, 0.6134, 0.0020, 1.7534, 0.0046 
0.1846, 0.6194, 0.0011, 1.7706, 0.0048 			      |	0.1846, 0.6166, 0.0011, 1.7627, 0.0047 
0.1880, 0.6109, 0.0022, 1.7472, 0.0048 			      |	0.1880, 0.6076, 0.0021, 1.7376, 0.0047 
0.1888, 0.6126, 0.0011, 1.7523, 0.0048 			      |	0.1888, 0.6099, 0.0011, 1.7445, 0.0047 
0.1893, 0.6112, 0.0014, 1.7482, 0.0059 			      |	0.1893, 0.6077, 0.0014, 1.7382, 0.0058 
0.1916, 0.6065, 0.0023, 1.7353, 0.0049 			      |	0.1916, 0.6032, 0.0022, 1.7258, 0.0048 
0.1928, 0.6073, 0.0011, 1.7378, 0.0047 			      |	0.1928, 0.6046, 0.0011, 1.7301, 0.0047 
0.1934, 0.6037, 0.0013, 1.7278, 0.0045 			      |	0.1934, 0.6004, 0.0013, 1.7182, 0.0045 
0.1943, 0.6041, 0.0014, 1.7290, 0.0059 			      |	0.1943, 0.6006, 0.0014, 1.7191, 0.0058 
0.1949, 0.6010, 0.0024, 1.7204, 0.0050 			      |	0.1949, 0.5977, 0.0023, 1.7109, 0.0049 
0.1970, 0.5997, 0.0011, 1.7171, 0.0047 			      |	0.1970, 0.5971, 0.0011, 1.7095, 0.0047 
0.1984, 0.5973, 0.0025, 1.7106, 0.0051 			      |	0.1984, 0.5941, 0.0025, 1.7013, 0.0051 
0.1992, 0.5979, 0.0012, 1.7123, 0.0046 			      |	0.1992, 0.5950, 0.0011, 1.7041, 0.0046 
0.1997, 0.5957, 0.0012, 1.7063, 0.0051 			      |	0.1997, 0.5923, 0.0012, 1.6965, 0.0050 
0.2011, 0.5929, 0.0011, 1.6984, 0.0047 			      |	0.2011, 0.5903, 0.0011, 1.6909, 0.0046 
0.2011, 0.5939, 0.0010, 1.7012, 0.0045 			      |	0.2011, 0.5908, 0.0010, 1.6923, 0.0045 
0.2017, 0.5921, 0.0026, 1.6964, 0.0053 			      |	0.2017, 0.5889, 0.0026, 1.6871, 0.0053 
0.2030, 0.5902, 0.0013, 1.6910, 0.0043 			      |	0.2030, 0.5870, 0.0013, 1.6821, 0.0043 
0.2045, 0.5870, 0.0010, 1.6824, 0.0045 			      |	0.2045, 0.5845, 0.0010, 1.6751, 0.0044 
0.2048, 0.5895, 0.0028, 1.6894, 0.0056 			      |	0.2048, 0.5862, 0.0027, 1.6802, 0.0055 
0.2051, 0.5897, 0.0012, 1.6901, 0.0051 			      |	0.2051, 0.5863, 0.0012, 1.6804, 0.0050 
0.2052, 0.5879, 0.0010, 1.6850, 0.0045 			      |	0.2052, 0.5848, 0.0010, 1.6762, 0.0045 
0.2053, 0.5876, 0.0010, 1.6842, 0.0045 			      |	0.2053, 0.5850, 0.0010, 1.6767, 0.0044 
0.2094, 0.5837, 0.0011, 1.6739, 0.0046 			      |	0.2094, 0.5806, 0.0011, 1.6651, 0.0045 
0.2095, 0.5821, 0.0011, 1.6693, 0.0045 			      |	0.2095, 0.5795, 0.0010, 1.6620, 0.0045 
0.2103, 0.5812, 0.0012, 1.6668, 0.0050 			      |	0.2103, 0.5778, 0.0012, 1.6573, 0.0050 
0.2105, 0.5809, 0.0031, 1.6661, 0.0062 			      |	0.2105, 0.5777, 0.0030, 1.6569, 0.0061 
0.2127, 0.5794, 0.0014, 1.6622, 0.0043 			      |	0.2127, 0.5760, 0.0014, 1.6526, 0.0042 
0.2127, 0.5776, 0.0014, 1.6572, 0.0043 			      |	0.2127, 0.5744, 0.0014, 1.6480, 0.0042 
0.2131, 0.5766, 0.0032, 1.6543, 0.0065 			      |	0.2131, 0.5734, 0.0032, 1.6452, 0.0064 
